,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
0,1970-01-14T22:15:54.270Z,19.3438333,-155.19316669999998,4.658,1.86,ml,8.0,204.0,,0.1,hv,hv19700108,2020-03-31T16:15:44.310Z,"11 km SSE of Volcano, Hawaii",earthquake,1.72,1.28,,1.0,reviewed,hv,hv
1,1970-01-14T22:14:58.690Z,19.3405,-155.1936667,6.782,,,10.0,211.0,,0.11,hv,hv19700107,2020-03-31T16:15:44.110Z,"12 km SSE of Volcano, Hawaii",earthquake,1.75,2.27,,,reviewed,hv,hv
2,1970-01-14T21:17:40.630Z,19.2825,-155.247,6.162000000000001,,,7.0,269.0,,0.06,hv,hv19700106,2020-03-31T16:15:43.910Z,"17 km S of Volcano, Hawaii",earthquake,1.15,2.54,,,reviewed,hv,hv
3,1970-01-14T18:44:20.840Z,37.5451667,-118.4078333,6.0,3.0,mh,6.0,234.0,,0.43,ci,ci3324900,2016-01-29T01:13:57.440Z,"18km N of Dixon Lane-Meadow Creek, CA",earthquake,3.43,31.61,0.387,12.0,reviewed,ci,ci
4,1970-01-14T17:29:39.910Z,19.406833300000002,-155.4508333,13.214,1.85,ml,10.0,256.0,,0.02,hv,hv19700105,2020-03-31T16:15:43.720Z,"22 km N of P?hala, Hawaii",earthquake,3.6,5.58,,1.0,reviewed,hv,hv
5,1970-01-14T10:38:59.460Z,19.346166699999998,-155.46683330000002,14.177999999999999,,,6.0,288.0,,0.03,hv,hv19700104,2020-03-31T16:15:43.510Z,"15 km N of P?hala, Hawaii",earthquake,5.94,5.87,,,reviewed,hv,hv
6,1970-01-14T09:29:28.700Z,19.3843333,-155.36233330000002,5.482,,,6.0,170.0,,0.01,hv,hv19700103,2020-03-31T16:15:43.320Z,"14 km WSW of Volcano, Hawaii",earthquake,0.9,2.73,,,reviewed,hv,hv
7,1970-01-14T06:27:23.860Z,19.2355,-155.4875,3.112,2.57,ml,13.0,150.0,,0.1,hv,hv19700102,2020-03-31T16:15:43.160Z,"3 km NNW of P?hala, Hawaii",earthquake,1.27,7.25,,1.0,reviewed,hv,hv
8,1970-01-14T02:22:36.000Z,-10.169,123.23299999999999,25.0,6.0,mw,,,,,iscgem,iscgem800066,2020-07-10T00:27:24.245Z,"40 km W of Kupang, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
9,1970-01-14T00:06:22.370Z,33.2588333,-115.96016670000002,6.0,3.09,ml,6.0,126.0,0.5217,0.75,ci,ci3324899,2016-01-29T01:13:56.880Z,"4km S of Salton City, CA",earthquake,2.35,31.61,0.152,3.0,reviewed,ci,ci
10,1970-01-13T23:29:58.150Z,35.1771667,-118.46083329999999,0.01,2.95,ml,8.0,100.0,0.47100000000000003,0.43,ci,ci3324898,2016-01-29T01:29:02.450Z,"5km NNW of Tehachapi, CA",quarry blast,1.03,31.61,0.204,5.0,reviewed,ci,ci
11,1970-01-13T20:30:46.060Z,19.338666699999997,-155.2283333,6.412000000000001,,,8.0,230.0,,0.03,hv,hv19700101,2020-03-31T16:15:43.020Z,"11 km S of Volcano, Hawaii",earthquake,1.73,1.99,,,reviewed,hv,hv
12,1970-01-13T16:47:50.290Z,19.34,-155.21966669999998,5.492000000000001,,,9.0,194.0,,0.03,hv,hv19700100,2020-03-31T16:15:42.890Z,"11 km S of Volcano, Hawaii",earthquake,1.17,1.57,,,reviewed,hv,hv
13,1970-01-13T16:32:33.110Z,19.332333300000002,-155.1918333,5.022,,,9.0,227.0,,0.08,hv,hv19700099,2020-03-31T16:15:42.760Z,"13 km SSE of Volcano, Hawaii",earthquake,1.03,1.67,,,reviewed,hv,hv
14,1970-01-13T16:29:31.430Z,19.3278333,-155.1888333,5.372000000000001,1.58,ml,12.0,236.0,,0.04,hv,hv19700098,2020-03-31T16:15:42.620Z,"13 km SSE of Volcano, Hawaii",earthquake,1.23,1.22,,1.0,reviewed,hv,hv
15,1970-01-13T16:23:32.030Z,19.3348333,-155.1925,4.572,,,8.0,223.0,,0.08,hv,hv19700097,2020-03-31T16:15:42.480Z,"12 km SSE of Volcano, Hawaii",earthquake,1.23,1.76,,,reviewed,hv,hv
16,1970-01-13T16:20:07.480Z,19.2051667,-155.05116669999998,40.802,,,14.0,236.0,,0.09,hv,hv19700096,2020-03-31T16:15:42.340Z,"30 km SSE of Fern Forest, Hawaii",earthquake,2.11,2.34,,,reviewed,hv,hv
17,1970-01-13T10:48:37.990Z,34.107,-117.73216670000001,6.0,2.58,ml,11.0,130.0,0.2944,0.55,ci,ci3324897,2016-01-29T01:19:03.100Z,"2km NW of Claremont, CA",earthquake,1.33,31.61,0.35200000000000004,5.0,reviewed,ci,ci
