time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-26T22:40:52.532Z,-24.0543,179.142,561.87,4.8,mb,,25,6.36,0.92,us,us7000f4gb,2021-08-26T23:00:39.040Z,"south of the Fiji Islands",earthquake,10.7,5.8,0.031,318,reviewed,us,us
2021-08-26T22:27:22.101Z,63.9413,-149.1968,3.1,2.7,ml,,,,0.93,ak,ak021axz5ysw,2021-08-26T22:54:55.070Z,"9 km SSW of Ferry, Alaska",ice quake,,0.4,,,automatic,ak,ak
2021-08-26T22:13:14.660Z,17.9521,-67.0141,11,2.88,md,10,225,0.0347,0.13,pr,pr2021238008,2021-08-26T22:27:36.393Z,"4 km SE of La Parguera, Puerto Rico",earthquake,0.61,0.31,0.31,7,reviewed,pr,pr
2021-08-26T21:08:37.663Z,56.7616,117.6762,10,4.2,mb,,69,8.081,0.7,us,us7000f4f9,2021-08-26T22:14:57.040Z,"38 km W of Novaya Chara, Russia",earthquake,9.9,1.9,0.121,19,reviewed,us,us
2021-08-26T20:49:04.079Z,36.3772,141.3358,23.7,5,mww,,108,2.526,1.28,us,us7000f4ej,2021-08-26T22:48:58.428Z,"66 km ESE of Hitachi, Japan",earthquake,6.8,4.3,0.083,14,reviewed,us,us
2021-08-26T20:33:23.740Z,38.8411674,-122.836998,2.06,2.57,md,50,26,0.002832,0.06,nc,nc73615796,2021-08-26T20:55:11.218Z,"10km NW of The Geysers, CA",earthquake,0.16,0.24,0.13,28,automatic,nc,nc
2021-08-26T20:18:14.842Z,-57.1209,-25.4637,30.8,5.3,mww,,26,6.847,0.74,us,us7000f4dd,2021-08-26T20:52:09.040Z,"South Sandwich Islands region",earthquake,9.3,3.6,0.093,11,reviewed,us,us
2021-08-26T17:29:50.650Z,61.5548,-146.481,14.6,2.6,ml,,,,0.95,ak,ak021axw7ahy,2021-08-26T17:35:57.397Z,"47 km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-08-26T16:42:55.020Z,18.0166,-66.7641,14,2.79,md,19,123,0.16,0.19,pr,pr2021238006,2021-08-26T17:03:08.310Z,"0 km E of Magas Arriba, Puerto Rico",earthquake,0.41,0.54,0.16,7,reviewed,pr,pr
2021-08-26T15:41:34.900Z,17.9381,-66.8841,13,3.08,md,16,204,0.1632,0.13,pr,pr2021238005,2021-08-26T18:24:48.040Z,"4 km S of Maria Antonia, Puerto Rico",earthquake,0.73,0.42,0.27,10,reviewed,pr,pr
2021-08-26T15:28:03.789Z,38.8798,95.5144,10,4.2,mb,,83,11.94,0.75,us,us7000f4b4,2021-08-26T18:19:38.040Z,"218 km WSW of Laojunmiao, China",earthquake,9.3,1.5,0.095,35,reviewed,us,us
2021-08-26T15:22:22.140Z,19.232,-155.434833333333,33.3,3.01,ml,54,118,,0.11,hv,hv72671942,2021-08-26T21:50:14.800Z,"5 km NE of P?hala, Hawaii",earthquake,0.41,0.5,0.153507265446174,39,reviewed,hv,hv
2021-08-26T15:05:49.467Z,55.2383,-157.4015,0,2.8,ml,,,,0.82,ak,ak021axuva02,2021-08-26T17:46:58.040Z,"133 km SE of Perryville, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-08-26T14:59:10.940Z,19.1953333333333,-155.491333333333,33.41,3.09,ml,54,69,,0.1,hv,hv72671922,2021-08-26T20:32:27.646Z,"1 km WSW of P?hala, Hawaii",earthquake,0.36,0.52,0.16113493311508,36,reviewed,hv,hv
2021-08-26T14:30:12.921Z,4.5319,125.2855,64.66,4.9,mb,,102,4.274,1.08,us,us7000f4aw,2021-08-26T14:56:11.040Z,"98 km SSW of Sarangani, Philippines",earthquake,9.3,8.5,0.059,89,reviewed,us,us
2021-08-26T13:25:26.857Z,39.0655,70.8839,50.3,4.4,mb,,127,1.951,1.21,us,us7000f4ag,2021-08-26T14:59:55.040Z,"Kyrgyzstan-Tajikistan border region",earthquake,3.8,17.2,0.379,2,reviewed,us,us
2021-08-26T12:54:45.645Z,-2.1969,140.6455,32.81,4.9,mb,,85,8.418,0.61,us,us7000f46j,2021-08-26T13:14:35.040Z,"38 km NNW of Jayapura, Indonesia",earthquake,11.1,5.9,0.066,71,reviewed,us,us
2021-08-26T12:25:59.611Z,-57.1752,-25.3516,59.71,5.1,mb,,169,6.923,0.56,us,us7000f469,2021-08-26T12:42:36.040Z,"South Sandwich Islands region",earthquake,14.5,9.4,0.087,43,reviewed,us,us
2021-08-26T10:41:08.583Z,57.1052,-156.0498,0.1,2.9,ml,,,,0.57,ak,ak021axs3qtr,2021-08-26T10:49:37.291Z,"93 km ESE of Ugashik, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-08-26T10:38:53.740Z,17.9456,-66.9056,16,2.66,md,7,214,0.1407,0.08,pr,pr2021238004,2021-08-26T12:10:48.221Z,"2 km S of Guánica, Puerto Rico",earthquake,0.53,0.68,0.2,3,reviewed,pr,pr
2021-08-26T10:14:22.490Z,17.9516,-66.8755,12,3.43,md,21,189,0.1697,0.19,pr,pr2021238003,2021-08-26T12:16:18.321Z,"3 km SSE of Maria Antonia, Puerto Rico",earthquake,0.54,0.45,0.38,13,reviewed,pr,pr
2021-08-26T09:23:14.651Z,5.1501,125.4127,189.2,4.7,mb,,111,1.914,0.92,us,us7000f456,2021-08-26T09:42:06.040Z,"28 km SSW of Sarangani, Philippines",earthquake,7.8,8.2,0.108,26,reviewed,us,us
2021-08-26T09:13:02.688Z,-59.8967,-26.1892,39.52,4.8,mb,,189,9.238,0.51,us,us7000f451,2021-08-26T09:28:54.040Z,"South Sandwich Islands region",earthquake,10.8,11.6,0.105,28,reviewed,us,us
2021-08-26T09:02:32.422Z,-58.8002,-25.1566,51.15,4.9,mb,,80,7.723,1,us,us7000f44x,2021-08-26T09:20:51.040Z,"South Sandwich Islands region",earthquake,10.2,7.1,0.088,40,reviewed,us,us
2021-08-26T08:34:29.946Z,-36.3186,-71.6801,100.83,4.6,mb,,97,0.475,0.69,us,us7000f44p,2021-08-26T20:44:01.925Z,"23 km SE of Parral, Chile",earthquake,4.2,7.6,0.136,16,reviewed,us,us
2021-08-26T08:31:44.128Z,-20.5843,-66.971,270.94,4.4,mb,,93,2.094,1,us,us7000f44n,2021-08-26T21:39:07.459Z,"20 km SW of Uyuni, Bolivia",earthquake,10.3,12.9,0.202,7,reviewed,us,us
2021-08-26T08:02:05.528Z,-59.8832,-26.3287,43.39,4.7,mb,,96,9.173,0.71,us,us7000f44f,2021-08-26T08:24:17.040Z,"South Sandwich Islands region",earthquake,6.1,9.2,0.092,36,reviewed,us,us
2021-08-26T07:34:45.052Z,-60.3968,-25.2319,10,4.7,mb,,65,9.603,0.71,us,us7000f448,2021-08-26T07:53:44.040Z,"South Sandwich Islands region",earthquake,7.1,1.9,0.089,39,reviewed,us,us
2021-08-26T06:49:30.256Z,-21.2794,-68.0336,211.5,4.5,mb,,48,1.377,0.99,us,us7000f441,2021-08-26T07:09:25.040Z,"155 km SW of Uyuni, Bolivia",earthquake,7.3,7.6,0.171,10,reviewed,us,us
2021-08-26T06:37:21.216Z,-59.7328,-26.1524,35,4.7,mb,,80,9.295,0.51,us,us7000f440,2021-08-26T07:00:42.040Z,"South Sandwich Islands region",earthquake,6.3,2,0.082,46,reviewed,us,us
2021-08-26T05:58:32.251Z,13.0118,-89.0373,57.76,4,mb,,191,0.703,0.65,us,us7000f43l,2021-08-26T06:13:06.040Z,"53 km S of El Rosario, El Salvador",earthquake,3.5,12.9,0.082,40,reviewed,us,us
2021-08-26T05:16:39.010Z,-58.8346,-25.3054,52.45,5.4,mb,,69,7.675,0.6,us,us7000f41z,2021-08-26T07:20:28.662Z,"South Sandwich Islands region",earthquake,9.6,5.7,0.058,102,reviewed,us,us
2021-08-26T05:16:05.489Z,-58.8857,-25.3332,59.22,5,mb,,50,7.69,0.73,us,us7000f41y,2021-08-26T05:37:40.040Z,"South Sandwich Islands region",earthquake,9.8,4.7,0.056,102,reviewed,us,us
2021-08-26T04:49:55.337Z,67.2295,-170.0805,40,4,ml,,,,0.38,ak,ak021axokxx6,2021-08-26T16:52:31.486Z,"171 km NNW of Diomede, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2021-08-26T04:44:40.980Z,38.7745018,-122.7278366,1.4,2.53,md,44,63,0.01115,0.07,nc,nc73615501,2021-08-26T05:06:13.622Z,"2km E of The Geysers, CA",earthquake,0.2,0.28,0.14,22,automatic,nc,nc
2021-08-26T03:49:31.860Z,48.5966666666667,-121.950833333333,-0.2,2.57,ml,21,46,0.09719,0.17,uw,uw61763112,2021-08-26T21:13:48.030Z,"8 km NNE of Hamilton, Washington",earthquake,0.29,0.73,0.0334533239912027,5,reviewed,uw,uw
2021-08-26T03:20:22.088Z,-58.8459,-25.4558,10,5.9,mww,,71,15.795,0.86,us,us7000f403,2021-08-26T15:22:20.040Z,"South Sandwich Islands region",earthquake,9.9,1.3,0.086,13,reviewed,us,us
2021-08-26T03:04:21.789Z,25.1142,123.4067,118.63,4.8,mb,,30,0.737,0.99,us,us7000f400,2021-08-26T03:20:33.040Z,"82 km NNE of Yonakuni, Japan",earthquake,6.8,5.2,0.054,104,reviewed,us,us
2021-08-26T03:03:05.390Z,32.3376667,-115.2981667,15.36,2.72,ml,24,140,0.0818,0.27,ci,ci40022328,2021-08-26T23:48:05.040Z,"10km W of Delta, B.C., MX",earthquake,0.54,0.88,0.157,48,reviewed,ci,ci
2021-08-26T02:14:22.068Z,-0.8537,121.5231,8,5.5,mww,,29,1.262,0.64,us,us7000f3zp,2021-08-26T23:25:31.244Z,"104 km NE of Poso, Indonesia",earthquake,5.5,1.7,0.093,11,reviewed,us,us
2021-08-26T01:55:13.190Z,17.956,-67.1031,10,3.16,md,13,246,0.0508,0.19,pr,pr2021238001,2021-08-26T03:43:12.439Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.76,0.41,0.14,8,reviewed,pr,pr
2021-08-26T01:40:50.612Z,9.5816,-69.2416,10,4.9,mww,,30,3.428,0.74,us,us7000f3zf,2021-08-26T22:10:48.613Z,"0 km W of Araure, Venezuela",earthquake,4.1,1.8,0.098,10,reviewed,us,us
2021-08-26T00:58:01.990Z,44.302,-115.1701667,7.72,2.51,ml,16,82,0.816,0.23,mb,mb80520774,2021-08-26T13:51:21.230Z,"20 km WNW of Stanley, Idaho",earthquake,0.54,1.05,0.196,17,reviewed,mb,mb
2021-08-26T00:30:07.355Z,-57.1511,-25.3577,35,5,mb,,89,6.912,0.59,us,us7000f3y7,2021-08-26T00:46:06.040Z,"South Sandwich Islands region",earthquake,11.1,2,0.076,55,reviewed,us,us
2021-08-26T00:23:58.090Z,18.6808,-67.264,13,2.89,md,12,252,0.2624,0.29,pr,pr2021238000,2021-08-26T02:56:55.496Z,"27 km NW of San Antonio, Puerto Rico",earthquake,1.11,0.86,0.15,11,reviewed,pr,pr
